procedimento,2020,total,municipio_ibge,competencia,2022,2021
0204010152 RADIOGRAFIA DE SELA TURSICA (PA + LATERAL + BRETTON),,1,130260,2022-05,1.0,
0204010160 RADIOGRAFIA OCLUSAL,,1,130260,2022-05,1.0,
0204010179 RADIOGRAFIA PANORAMICA,,25,130260,2022-05,25.0,
0204010225 RADIOGRAFIA PERIAPICAL,,510,130260,2022-05,510.0,
0204020034 RADIOGRAFIA DE COLUNA CERVICAL (AP + LATERAL + TO + OBLIQUAS),,122,130260,2022-05,122.0,
0204020042 RADIOGRAFIA DE COLUNA CERVICAL (AP + LATERAL + TO / FLEXAO),,69,130260,2022-05,69.0,
0204020050 RADIOGRAFIA DE COLUNA CERVICAL FUNCIONAL / DINAMICA,,31,130260,2022-05,31.0,
0204020069 RADIOGRAFIA DE COLUNA LOMBO-SACRA,,473,130260,2022-05,473.0,
0204020077 RADIOGRAFIA DE COLUNA LOMBO-SACRA (C/ OBLIQUAS),,20,130260,2022-05,20.0,
0204020085 RADIOGRAFIA DE COLUNA LOMBO-SACRA FUNCIONAL / DINAMICA,,19,130260,2022-05,19.0,
0204020093 RADIOGRAFIA DE COLUNA TORACICA (AP + LATERAL),,287,130260,2022-05,287.0,
0204020107 RADIOGRAFIA DE COLUNA TORACO-LOMBAR,,305,130260,2022-05,305.0,
0204020115 RADIOGRAFIA DE COLUNA TORACO-LOMBAR DINAMICA,,12,130260,2022-05,12.0,
0204020123 RADIOGRAFIA DE REGIAO SACRO-COCCIGEA,,9,130260,2022-05,9.0,
0204020131 RADIOGRAFIA PANORAMICA DE COLUNA TOTAL- TELESPONDILOGRAFIA ( P/ ESCOLIOSE),,7,130260,2022-05,7.0,
0204030030 MAMOGRAFIA,,142,130260,2022-05,142.0,
0204030072 RADIOGRAFIA DE COSTELAS (POR HEMITORAX),,19,130260,2022-05,19.0,
0204030080 RADIOGRAFIA DE ESOFAGO,,8,130260,2022-05,8.0,
0204030137 RADIOGRAFIA DE TORAX (PA + INSPIRACAO + EXPIRACAO + LATERAL),,40,130260,2022-05,40.0,
0204030145 RADIOGRAFIA DE TORAX (PA + LATERAL + OBLIQUA),,456,130260,2022-05,456.0,
0204030153 RADIOGRAFIA DE TORAX (PA E PERFIL),,2052,130260,2022-05,2052.0,
0204030161 RADIOGRAFIA DE TORAX (PA PADRAO OIT),,8,130260,2022-05,8.0,
0204030170 RADIOGRAFIA DE TORAX (PA),,879,130260,2022-05,879.0,
0204030188 MAMOGRAFIA BILATERAL PARA RASTREAMENTO,,877,130260,2022-05,877.0,
0204040019 RADIOGRAFIA DE ANTEBRACO,,125,130260,2022-05,125.0,
0204040027 RADIOGRAFIA DE ARTICULACAO ACROMIO-CLAVICULAR,,4,130260,2022-05,4.0,
0204040035 RADIOGRAFIA DE ARTICULACAO ESCAPULO-UMERAL,,49,130260,2022-05,49.0,
0204040051 RADIOGRAFIA DE BRACO,,68,130260,2022-05,68.0,
0204040060 RADIOGRAFIA DE CLAVICULA,,26,130260,2022-05,26.0,
0204040078 RADIOGRAFIA DE COTOVELO,,99,130260,2022-05,99.0,
0204040086 RADIOGRAFIA DE DEDOS DA MAO,,23,130260,2022-05,23.0,
0204040094 RADIOGRAFIA DE MAO,,255,130260,2022-05,255.0,
0204040108 RADIOGRAFIA DE MAO E PUNHO (P/ DETERMINACAO DE IDADE OSSEA),,88,130260,2022-05,88.0,
0204040116 RADIOGRAFIA DE ESCAPULA/OMBRO (TRES POSICOES),,239,130260,2022-05,239.0,
0204040124 RADIOGRAFIA DE PUNHO (AP + LATERAL + OBLIQUA),,229,130260,2022-05,229.0,
0204050014 CLISTER OPACO C/ DUPLO CONTRASTE,,1,130260,2022-05,1.0,
0204050111 RADIOGRAFIA DE ABDOMEN (AP + LATERAL / LOCALIZADA),,30,130260,2022-05,30.0,
0204050120 RADIOGRAFIA DE ABDOMEN AGUDO (MINIMO DE 3 INCIDENCIAS),,38,130260,2022-05,38.0,
0204050138 RADIOGRAFIA DE ABDOMEN SIMPLES (AP),,180,130260,2022-05,180.0,
0204060028 DENSITOMETRIA OSSEA DUO-ENERGETICA DE COLUNA (VERTEBRAS LOMBARES E/OU FEMUR),,576,130260,2022-05,576.0,
0204060036 ESCANOMETRIA,,70,130260,2022-05,70.0,
0204060060 RADIOGRAFIA DE ARTICULACAO COXO-FEMORAL,,52,130260,2022-05,52.0,
0204060079 RADIOGRAFIA DE ARTICULACAO SACRO-ILIACA,,30,130260,2022-05,30.0,
0204060087 RADIOGRAFIA DE ARTICULACAO TIBIO-TARSICA,,182,130260,2022-05,182.0,
0204060095 RADIOGRAFIA DE BACIA,,294,130260,2022-05,294.0,
0204060109 RADIOGRAFIA DE CALCANEO,,68,130260,2022-05,68.0,
0204060117 RADIOGRAFIA DE COXA,,103,130260,2022-05,103.0,
0204060125 RADIOGRAFIA DE JOELHO (AP + LATERAL),,426,130260,2022-05,426.0,
0204060133 RADIOGRAFIA DE JOELHO OU PATELA (AP + LATERAL + AXIAL),,154,130260,2022-05,154.0,
0204060141 RADIOGRAFIA DE JOELHO OU PATELA (AP + LATERAL + OBLIQUA + 3 AXIAIS),,78,130260,2022-05,78.0,
0204060150 RADIOGRAFIA DE PE / DEDOS DO PE,,292,130260,2022-05,292.0,
0204060168 RADIOGRAFIA DE PERNA,,232,130260,2022-05,232.0,
0204060176 RADIOGRAFIA PANORAMICA DE MEMBROS INFERIORES,,81,130260,2022-05,81.0,
0205010016 ECOCARDIOGRAFIA DE ESTRESSE,,23,130260,2022-05,23.0,
0205010032 ECOCARDIOGRAFIA TRANSTORACICA,,1293,130260,2022-05,1293.0,
0205010040 ULTRASSONOGRAFIA DOPPLER COLORIDO DE VASOS,,1574,130260,2022-05,1574.0,
0205010059 ULTRASSONOGRAFIA DOPPLER DE FLUXO OBSTETRICO,,204,130260,2022-05,204.0,
0205020020 PAQUIMETRIA ULTRASSONICA,,1039,130260,2022-05,1039.0,
0205020038 ULTRASSONOGRAFIA DE ABDOMEN SUPERIOR,,321,130260,2022-05,321.0,
0205020046 ULTRASSONOGRAFIA DE ABDOMEN TOTAL,,5224,130260,2022-05,5224.0,
0205020054 ULTRASSONOGRAFIA DE APARELHO URINARIO,,1423,130260,2022-05,1423.0,
0205020062 ULTRASSONOGRAFIA DE ARTICULACAO,,3187,130260,2022-05,3187.0,
0205020070 ULTRASSONOGRAFIA DE BOLSA ESCROTAL,,163,130260,2022-05,163.0,
0205020089 ULTRASSONOGRAFIA DE GLOBO OCULAR / ORBITA (MONOCULAR),,844,130260,2022-05,844.0,
0205020097 ULTRASSONOGRAFIA MAMARIA BILATERAL,,1320,130260,2022-05,1320.0,
0205020100 ULTRASSONOGRAFIA DE PROSTATA POR VIA ABDOMINAL,,451,130260,2022-05,451.0,
0205020119 ULTRASSONOGRAFIA DE PROSTATA (VIA TRANSRETAL),,154,130260,2022-05,154.0,
0205020127 ULTRASSONOGRAFIA DE TIREOIDE,,1069,130260,2022-05,1069.0,
0205020135 ULTRASSONOGRAFIA DE TORAX (EXTRACARDIACA),,1,130260,2022-05,1.0,
0205020143 ULTRASSONOGRAFIA OBSTETRICA,,3708,130260,2022-05,3708.0,
0205020151 ULTRASSONOGRAFIA OBSTETRICA C/ DOPPLER COLORIDO E PULSADO,,90,130260,2022-05,90.0,
0205020160 ULTRASSONOGRAFIA PELVICA (GINECOLOGICA),,458,130260,2022-05,458.0,
0205020178 ULTRASSONOGRAFIA TRANSFONTANELA,,43,130260,2022-05,43.0,
0205020186 ULTRASSONOGRAFIA TRANSVAGINAL,,2620,130260,2022-05,2620.0,
0206010010 TOMOGRAFIA COMPUTADORIZADA DE COLUNA CERVICAL C/ OU S/ CONTRASTE,,212,130260,2022-05,212.0,
0206010028 TOMOGRAFIA COMPUTADORIZADA DE COLUNA LOMBO-SACRA C/ OU S/ CONTRASTE,,124,130260,2022-05,124.0,
0206010036 TOMOGRAFIA COMPUTADORIZADA DE COLUNA TORACICA C/ OU S/ CONTRASTE,,72,130260,2022-05,72.0,
0206010044 TOMOGRAFIA COMPUTADORIZADA DE FACE / SEIOS DA FACE / ARTICULACOES TEMPORO-MANDIBULARES,,369,130260,2022-05,369.0,
0206010052 TOMOGRAFIA COMPUTADORIZADA DO PESCOCO,,158,130260,2022-05,158.0,
0206010060 TOMOGRAFIA COMPUTADORIZADA DE SELA TURCICA,,6,130260,2022-05,6.0,
0206010079 TOMOGRAFIA COMPUTADORIZADA DO CRANIO,,2453,130260,2022-05,2453.0,
0206020015 TOMOGRAFIA COMPUTADORIZADA DE ARTICULACOES DE MEMBRO SUPERIOR,,29,130260,2022-05,29.0,
"0206020023 TOMOGRAFIA COMPUTADORIZADA DE SEGMENTOS APENDICULARES - (BRACO, ANTEBRACO, MAO, COXA, PERNA, PE)",,27,130260,2022-05,27.0,
0206020031 TOMOGRAFIA COMPUTADORIZADA DE TORAX,,1598,130260,2022-05,1598.0,
0206030010 TOMOGRAFIA COMPUTADORIZADA DE ABDOMEN SUPERIOR,,2066,130260,2022-05,2066.0,
0206030029 TOMOGRAFIA COMPUTADORIZADA DE ARTICULACOES DE MEMBRO INFERIOR,,43,130260,2022-05,43.0,
0206030037 TOMOGRAFIA COMPUTADORIZADA DE PELVE / BACIA / ABDOMEN INFERIOR,,1450,130260,2022-05,1450.0,
0207010013 ANGIORESSONANCIA CEREBRAL,,57,130260,2022-05,57.0,
0207010021 RESSONANCIA MAGNETICA DE ARTICULACAO TEMPORO-MANDIBULAR (BILATERAL),,9,130260,2022-05,9.0,
0207010030 RESSONANCIA MAGNETICA DE COLUNA CERVICAL/PESCOCO,,260,130260,2022-05,260.0,
0207010048 RESSONANCIA MAGNETICA DE COLUNA LOMBO-SACRA,,783,130260,2022-05,783.0,
0207010056 RESSONANCIA MAGNETICA DE COLUNA TORACICA,,83,130260,2022-05,83.0,
0207010064 RESSONANCIA MAGNETICA DE CRANIO,,891,130260,2022-05,891.0,
0207010072 RESSONANCIA MAGNETICA DE SELA TURCICA,,36,130260,2022-05,36.0,
0207020027 RESSONANCIA MAGNETICA DE MEMBRO SUPERIOR (UNILATERAL),,146,130260,2022-05,146.0,
0207020035 RESSONANCIA MAGNETICA DE TORAX,,5,130260,2022-05,5.0,
0207030014 RESSONANCIA MAGNETICA DE ABDOMEN SUPERIOR,,215,130260,2022-05,215.0,
0207030022 RESSONANCIA MAGNETICA DE BACIA / PELVE / ABDOMEN INFERIOR,,521,130260,2022-05,521.0,
0207030030 RESSONANCIA MAGNETICA DE MEMBRO INFERIOR (UNILATERAL),,382,130260,2022-05,382.0,
0207030049 RESSONANCIA MAGNETICA DE VIAS BILIARES/COLANGIORRESSONANCIA,,69,130260,2022-05,69.0,
0208010025 CINTILOGRAFIA DE MIOCARDIO P/ AVALIACAO DA PERFUSAO EM SITUACAO DE ESTRESSE (MINIMO 3 PROJECOES),,1,130260,2022-05,1.0,
0208010033 CINTILOGRAFIA DE MIOCARDIO P/ AVALIACAO DA PERFUSAO EM SITUACAO DE REPOUSO (MINIMO 3 PROJECOES),,2,130260,2022-05,2.0,
0208030042 CINTILOGRAFIA P/ PESQUISA DO CORPO INTEIRO,,1,130260,2022-05,1.0,
0208050035 CINTILOGRAFIA DE OSSOS COM OU SEM FLUXO SANGUINEO (CORPO INTEIRO),,3,130260,2022-05,3.0,
0209010010 COLANGIOPANCREATOGRAFIA RETROGRADA (VIA ENDOSCOPICA),,4,130260,2022-05,4.0,
0209010029 COLONOSCOPIA (COLOSCOPIA),,104,130260,2022-05,104.0,
0209010037 ESOFAGOGASTRODUODENOSCOPIA,,839,130260,2022-05,839.0,
0209010053 RETOSSIGMOIDOSCOPIA,,20,130260,2022-05,20.0,
0209020016 CISTOSCOPIA E/OU URETEROSCOPIA E/OU URETROSCOPIA,,3,130260,2022-05,3.0,
0209040017 BRONCOSCOPIA (BRONCOFIBROSCOPIA),,4,130260,2022-05,4.0,
0209040025 LARINGOSCOPIA,,85,130260,2022-05,85.0,
0209040041 VIDEOLARINGOSCOPIA,,345,130260,2022-05,345.0,
0210010045 AORTOGRAFIA ABDOMINAL,,1,130260,2022-05,1.0,
0210010070 ARTERIOGRAFIA DE MEMBRO,,24,130260,2022-05,24.0,
0210010096 ARTERIOGRAFIA P/ INVESTIGACAO DE DOENCA ARTERIOSCLEROTICA AORTO-ILIACA E DISTAL,,5,130260,2022-05,5.0,
0210010142 ARTERIOGRAFIA SELETIVA POR CATETER (POR VASO),,2,130260,2022-05,2.0,
0210010177 FLEBOGRAFIA DE MEMBRO,,4,130260,2022-05,4.0,
0210010185 FLEBOGRAFIA DE CAVA INFERIOR E/OU SUPERIOR,,9,130260,2022-05,9.0,
0211020010 CATETERISMO CARDIACO,,126,130260,2022-05,126.0,
0211020036 ELETROCARDIOGRAMA,,1806,130260,2022-05,1806.0,
0211020044 MONITORAMENTO PELO SISTEMA HOLTER 24 HS (3 CANAIS),,22,130260,2022-05,22.0,
0211020052 MONITORIZACAO AMBULATORIAL DE PRESSAO ARTERIAL (MAPA),,71,130260,2022-05,71.0,
0211020060 TESTE DE ESFORCO / TESTE ERGOMETRICO,,25,130260,2022-05,25.0,
0211030040 AVALIACAO DE FUNCAO E MECANICA RESPIRATORIA,,1555,130260,2022-05,1555.0,
0211030074 AVALIACAO FUNCIONAL MUSCULAR,,509,130260,2022-05,509.0,
0211040029 COLPOSCOPIA,,254,130260,2022-05,254.0,
0211040045 HISTEROSCOPIA (DIAGNOSTICA),,2,130260,2022-05,2.0,
0211040061 TOCOCARDIOGRAFIA ANTE-PARTO,,150,130260,2022-05,150.0,
0211050024 ELETROENCEFALOGRAFIA EM VIGILIA C/ OU S/ FOTO-ESTIMULO,,14,130260,2022-05,14.0,
0211060011 BIOMETRIA ULTRASSONICA (MONOCULAR),,906,130260,2022-05,906.0,
0211060020 BIOMICROSCOPIA DE FUNDO DE OLHO,,1060,130260,2022-05,1060.0,
0211060038 CAMPIMETRIA COMPUTADORIZADA OU MANUAL COM GRAFICO,,1032,130260,2022-05,1032.0,
0211060054 CERATOMETRIA,,859,130260,2022-05,859.0,
0211060062 CURVA DIARIA DE PRESSAO OCULAR CDPO (MINIMO 3 MEDIDAS),,395,130260,2022-05,395.0,
0211060089 ELETRORETINOGRAFIA,,2,130260,2022-05,2.0,
0211060100 FUNDOSCOPIA,,919,130260,2022-05,919.0,
0211060119 GONIOSCOPIA,,331,130260,2022-05,331.0,
0211060127 MAPEAMENTO DE RETINA,,1852,130260,2022-05,1852.0,
0211060135 MEDIDA DE OFUSCAMENTO E CONTRASTE,,3,130260,2022-05,3.0,
0211060143 MICROSCOPIA ESPECULAR DE CORNEA,,1260,130260,2022-05,1260.0,
0211060151 POTENCIAL DE ACUIDADE VISUAL,,24,130260,2022-05,24.0,
0211060178 RETINOGRAFIA COLORIDA BINOCULAR,,698,130260,2022-05,698.0,
0211060186 RETINOGRAFIA FLUORESCENTE BINOCULAR,,21,130260,2022-05,21.0,
0211060208 TESTE DE PROVOCACAO DE GLAUCOMA,,4,130260,2022-05,4.0,
0211060216 TESTE DE SCHIRMER,,2,130260,2022-05,2.0,
0211060224 TESTE DE VISAO DE CORES,,42,130260,2022-05,42.0,
0211060232 TESTE ORTOPTICO,,4,130260,2022-05,4.0,
0211060259 TONOMETRIA,,2401,130260,2022-05,2401.0,
0211060267 TOPOGRAFIA COMPUTADORIZADA DE CORNEA,,1078,130260,2022-05,1078.0,
0211060283 TOMOGRAFIA DE COERENCIA OPTICA,,65,130260,2022-05,65.0,
0211070025 AUDIOMETRIA DE REFORCO VISUAL (VIA AEREA / OSSEA),,35,130260,2022-05,35.0,
0211070033 AUDIOMETRIA EM CAMPO LIVRE,,58,130260,2022-05,58.0,
0211070041 AUDIOMETRIA TONAL LIMIAR (VIA AEREA / OSSEA),,1572,130260,2022-05,1572.0,
0211070050 AVALIACAO AUDITIVA COMPORTAMENTAL,,28,130260,2022-05,28.0,
0211070068 AVALIACAO DE LINGUAGEM ESCRITA / LEITURA,,196,130260,2022-05,196.0,
0211070076 AVALIACAO DE LINGUAGEM ORAL,,800,130260,2022-05,800.0,
0211070084 AVALIACAO MIOFUNCIONAL DE SISTEMA ESTOMATOGNATICO,,411,130260,2022-05,411.0,
0211070092 AVALIACAO P/ DIAGNOSTICO DE DEFICIENCIA AUDITIVA,,211,130260,2022-05,211.0,
0211070106 AVALIACAO P/ DIAGNOSTICO DIFERENCIAL DE DEFICIENCIA AUDITIVA,,69,130260,2022-05,69.0,
0211070114 AVALIACAO VOCAL,,214,130260,2022-05,214.0,
0211070122 ELETROCOCLEOGRAFIA,,4,130260,2022-05,4.0,
0211070149 EMISSOES OTOACUSTICAS EVOCADAS PARA TRIAGEM AUDITIVA (TESTE DA ORELHINHA),,318,130260,2022-05,318.0,
0211070157 ESTUDO DE EMISSOES OTOACUSTICAS EVOCADAS TRANSITORIAS E PRODUTOS DE DISTORCAO (EOA),,915,130260,2022-05,915.0,
0211070173 EXAME DE ORGANIZACAO PERCEPTIVA,,5,130260,2022-05,5.0,
0211070203 IMITANCIOMETRIA,,1796,130260,2022-05,1796.0,
0211070211 LOGOAUDIOMETRIA (LDV-IRF-LRF),,1405,130260,2022-05,1405.0,
0211070246 PESQUISA DE GANHO DE INSERCAO,,2,130260,2022-05,2.0,
0211070262 POTENCIAL EVOCADO AUDITIVO DE CURTA MEDIA E LONGA LATENCIA,,351,130260,2022-05,351.0,
0211070270 POTENCIAL EVOCADO AUDITIVO PARA TRIAGEM AUDITIVA (TESTE DA ORELHINHA),,121,130260,2022-05,121.0,
0211070289 PROVA DE FUNCAO TUBARIA,,112,130260,2022-05,112.0,
0211070297 REAVALIACAO DIAGNOSTICA DE DEFICIENCIA AUDITIVA EM PACIENTE MAIOR DE 3 ANOS,,76,130260,2022-05,76.0,
0211070300 REAVALIACAO DIAGNOSTICA DE DEFICIENCIA AUDITIVA EM PACIENTE MENOR DE 3 ANOS,,6,130260,2022-05,6.0,
0211070319 SELECAO E VERIFICACAO DE BENEFICIO DO AASI,,227,130260,2022-05,227.0,
0211070343 TESTES DE PROCESSAMENTO AUDITIVO,,7,130260,2022-05,7.0,
0211070351 TESTES VESTIBULARES / OTONEUROLOGICOS,,84,130260,2022-05,84.0,
0211070386 MAPEAMENTO E BALANCEAMENTO DOS ELETRODOS,,6,130260,2022-05,6.0,
0211070394 POTENCIAL EVOCADO ELETRICAMENTE NO SISTEMA AUDITIVO,,1,130260,2022-05,1.0,
0211080020 GASOMETRIA,,2,130260,2022-05,2.0,
0211080055 ESPIROMETRIA OU PROVA DE FUNCAO PULMONAR COMPLETA COM BRONCODILATADOR,,125,130260,2022-05,125.0,
0212010026 EXAMES PRE-TRANSFUSIONAIS I,,606,130260,2022-05,606.0,
0212010034 EXAMES PRE-TRANSFUSIONAIS II,,611,130260,2022-05,611.0,
0213010054 EXAME PARASITOLOGICO DIRETO P/ LEISHMANIAS (LEISHMANIOSE TEGUMENTAR AMERICANA),,3,130260,2022-05,3.0,
0213010135 HISTOPATOLOGIA P/ IDENTIFICACAO DE HEPATITE B,,1,130260,2022-05,1.0,
0213010143 HISTOPATOLOGIA P/ IDENTIFICACAO DE HEPATITE C,,589,130260,2022-05,589.0,
0213010577 TESTE DE ELISA IGG P/ IDENTIFICACAO DO TOXOPLASMA GONDII (TOXOPLASMOSE),,4,130260,2022-05,4.0,
0213010720 PESQUISA DE SARS-COV-2 POR RT - PCR,,302,130260,2022-05,302.0,
0214010015 GLICEMIA CAPILAR,,15,130260,2022-05,15.0,
0214010023 PESQUISA DE CORPOS CETONICOS NA URINA,,8,130260,2022-05,8.0,
0214010040 TESTE RAPIDO PARA DETECCAO DE HIV NA GESTANTE OU PAI/PARCEIRO,,4817,130260,2022-05,4817.0,
0214010058 TESTE RAPIDO PARA DETECCAO DE INFECCAO PELO HIV,,2542,130260,2022-05,2542.0,
0214010066 TESTE RAPIDO DE GRAVIDEZ,,13,130260,2022-05,13.0,
0214010074 TESTE RAPIDO PARA SIFILIS,,1991,130260,2022-05,1991.0,
0214010082 TESTE RAPIDO PARA SIFILIS NA GESTANTE OU PAI/PARCEIRO,,1057,130260,2022-05,1057.0,
0214010090 TESTE RAPIDO PARA DETECCAO DE HEPATITE C,,2261,130260,2022-05,2261.0,
0214010104 TESTE RAPIDO PARA DETECCAO DE INFECCAO PELO HBV,,2265,130260,2022-05,2265.0,
0214010120 TESTE RAPIDO PARA DENGUE IGG/IGM,,245,130260,2022-05,245.0,
0214010163 TESTE RAPIDO PARA DETECCAO DE SARS-COVID-2,,207,130260,2022-05,207.0,
0301010021 CONSULTA COM IDENTIFICACAO DE CASOS NOVOS DE TUBERCULOSE,,2,130260,2022-05,2.0,
0301010030 CONSULTA DE PROFISSIONAIS DE NIVEL SUPERIOR NA ATENCAO PRIMARIA (EXCETO MEDICO),,159,130260,2022-05,159.0,
0301010048 CONSULTA DE PROFISSIONAIS DE NIVEL SUPERIOR NA ATENCAO ESPECIALIZADA (EXCETO MEDICO),,65178,130260,2022-05,65178.0,
0301010056 CONSULTA MEDICA EM SAUDE DO TRABALHADOR,,1,130260,2022-05,1.0,
0301010064 CONSULTA MEDICA EM ATENCAO PRIMARIA,,78,130260,2022-05,78.0,
0301010072 CONSULTA MEDICA EM ATENCAO ESPECIALIZADA,,48360,130260,2022-05,48360.0,
0301010099 CONSULTA PARA AVALIACAO CLINICA DO FUMANTE,,5,130260,2022-05,5.0,
0301010110 CONSULTA PRE-NATAL,,26,130260,2022-05,26.0,
0301010137 CONSULTA/ATENDIMENTO DOMICILIAR,,41,130260,2022-05,41.0,
0301010153 PRIMEIRA CONSULTA ODONTOLOGICA PROGRAMATICA,,104,130260,2022-05,104.0,
0301010161 CONSULTA/ATENDIMENTO DOMICILIAR NA ATENCAO ESPECIALIZADA,,27,130260,2022-05,27.0,
0301010269 AVALIACAO DO CRESCIMENTO NA PUERICULTURA,,3,130260,2022-05,3.0,
0301010307 TELECONSULTA MEDICA NA ATENCAO ESPECIALIZADA,,94,130260,2022-05,94.0,
0301010315 TELECONSULTA POR PROFISSIONAIS DE NIVEL SUPERIOR NA ATENCAO ESPECIALIZADA (EXCETO MEDICO),,85,130260,2022-05,85.0,
0301020019 ACOMPANHAMENTO DE PACIENTE PORTADOR DE AGRAVOS RELACIONADOS AO TRABALHO,,1,130260,2022-05,1.0,
0301020027 ACOMPANHAMENTO DE PACIENTE PORTADOR DE SEQUELAS RELACIONADAS AO TRABALHO,,3,130260,2022-05,3.0,
0301020035 EMISSAO DE PARECER SOBRE NEXO CAUSAL,,47,130260,2022-05,47.0,
0301040044 TERAPIA INDIVIDUAL,,2900,130260,2022-05,2900.0,
0301040052 ATENDIMENTO MULTIPROFISSIONAL PARA ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,,99,130260,2022-05,99.0,
0301040079 ESCUTA INICIAL / ORIENTACAO (ACOLHIMENTO A DEMANDA ESPONT NEA),,148,130260,2022-05,148.0,
0301040087 ATENDIMENTO EM GRUPO NA ATENCAO PRIMARIA,,5,130260,2022-05,5.0,
0301040141 INSERCAO DO DISPOSITIVO INTRA-UTERINO (DIU),,7,130260,2022-05,7.0,
0301040150 RETIRADA DO DISPOSITIVO INTRA-UTERINO (DIU),,2,130260,2022-05,2.0,
0301050023 ASSISTENCIA DOMICILIAR POR EQUIPE MULTIPROFISSIONAL,,5,130260,2022-05,5.0,
0301050031 ASSISTENCIA DOMICILIAR POR EQUIPE MULTIPROFISSIONAL NA ATENCAO ESPECIALIZADA,,128,130260,2022-05,128.0,
0301060029 ATENDIMENTO DE URGENCIA C/ OBSERVACAO ATE 24 HORAS EM ATENCAO ESPECIALIZADA,,11661,130260,2022-05,11661.0,
0301060061 ATENDIMENTO DE URGENCIA EM ATENCAO ESPECIALIZADA,,47232,130260,2022-05,47232.0,
0301060096 ATENDIMENTO MEDICO EM UNIDADE DE PRONTO ATENDIMENTO,,11321,130260,2022-05,11321.0,
0301060100 ATENDIMENTO ORTOPEDICO COM IMOBILIZACAO PROVISORIA,,150,130260,2022-05,150.0,
0301060118 ACOLHIMENTO COM CLASSIFICACAO DE RISCO,,13703,130260,2022-05,13703.0,
0301070024 ACOMPANHAMENTO DE PACIENTE EM REABILITACAO EM COMUNICACAO ALTERNATIVA,,270,130260,2022-05,270.0,
0301070032 ACOMPANHAMENTO DE PACIENTE P/ ADAPTACAO DE APARELHO DE AMPLIFICACAO SONORA INDIVIDUAL (AASI) UNI / B,,252,130260,2022-05,252.0,
0301070040 ACOMPANHAMENTO NEUROPSICOLOGICO DE PACIENTE EM REABILITACAO,,284,130260,2022-05,284.0,
0301070059 ACOMPANHAMENTO PSICOPEDAGOGICO DE PACIENTE EM REABILITACAO,,103,130260,2022-05,103.0,
0301070067 ATENDIMENTO / ACOMPANHAMENTO EM REABILITACAO NAS MULTIPLAS DEFICIENCIAS,,2515,130260,2022-05,2515.0,
0301070075 ATENDIMENTO / ACOMPANHAMENTO DE PACIENTE EM REABILITACAO DO DESENVOLVIMENTO NEUROPSICOMOTOR,,901,130260,2022-05,901.0,
0301070091 ATENDIMENTO EM OFICINA TERAPEUTICA II EM GRUPO PARA PESSOAS COM DEFICIENCIA (POR OFICINA TERAPEUTI,,2,130260,2022-05,2.0,
0301070105 ATENDIMENTO/ACOMPANHAMENTO INTENSIVO DE PACIENTE EM REABILITACAO FISICA (1 TURNO PACIENTE-DIA - 15,,1604,130260,2022-05,1604.0,
0301070113 TERAPIA FONOAUDIOLOGICA INDIVIDUAL,,1891,130260,2022-05,1891.0,
0301070121 TRATAMENTO INTENSIVO DE PACIENTE EM REABILITACAO FISICA (1 TURNO PACIENTE- DIA - 20 ATENDIMENTOS-M,,1977,130260,2022-05,1977.0,
0301070164 ATENDIMENTO/ACOMPANHAMENTO EM REABILITACAO VISUAL,,1,130260,2022-05,1.0,
0301070199 ACOMPANHAMENTO DE PACIENTE COM IMPLANTE COCLEAR,,5,130260,2022-05,5.0,
0301080143 ATENDIMENTO EM OFICINA TERAPEUTICA I - SAUDE MENTAL,,20,130260,2022-05,20.0,
0301080151 ATENDIMENTO EM OFICINA TERAPEUTICA II - SAUDE MENTAL,,161,130260,2022-05,161.0,
0301080178 ATENDIMENTO INDIVIDUAL EM PSICOTERAPIA,,959,130260,2022-05,959.0,
0301080194 ACOLHIMENTO DIURNO DE PACIENTE EM CENTRO DE ATENCAO PSICOSSOCIAL,,259,130260,2022-05,259.0,
0301080208 ATENDIMENTO INDIVIDUAL DE PACIENTE EM CENTRO DE ATENCAO PSICOSSOCIAL,,4337,130260,2022-05,4337.0,
0301080216 ATENDIMENTO EM GRUPO DE PACIENTE EM CENTRO DE ATENCAO PSICOSSOCIAL,,543,130260,2022-05,543.0,
0301080224 ATENDIMENTO FAMILIAR EM CENTRO DE ATENCAO PSICOSSOCIAL,,1966,130260,2022-05,1966.0,
0301080232 ACOLHIMENTO INICIAL POR CENTRO DE ATENCAO PSICOSSOCIAL,,667,130260,2022-05,667.0,
0301080240 ATENDIMENTO DOMICILIAR PARA PACIENTES DE CENTRO DE ATENCAO PSICOSSOCIAL E/OU FAMILIARES,,118,130260,2022-05,118.0,
0301080275 PRATICAS CORPORAIS EM CENTRO DE ATENCAO PSICOSSOCIAL,,44,130260,2022-05,44.0,
0301080283 PRATICAS EXPRESSIVAS E COMUNICATIVAS EM CENTRO DE ATENCAO PSICOSSOCIAL,,41,130260,2022-05,41.0,
0301080291 ATENCAO AS SITUACOES DE CRISE,,137,130260,2022-05,137.0,
0301080321 ACOMPANHAMENTO DE SERVICO RESIDENCIAL TERAPEUTICO POR CENTRO DE ATENCAO PSICOSSOCIAL,,8,130260,2022-05,8.0,
0301080348 ACOES DE REABILITACAO PSICOSSOCIAL,,208,130260,2022-05,208.0,
